itemLabel.value,film_id,year,instanceLabel,duration,englishTitle,originalTitle,description,genre,country,language,director,production_company,imdb_id,kinopoisk_id,cast,screenwriter,youtube_id,director_of_photography,composer,wikipedia_url
Ded Moroz and Summer,Q4156667,1969.0,"['film', 'animated short film']",,['Ded Moroz and Summer'],['Дед Мороз и лето'],['1969 film by Valentin Karavayev'],['Christmas film'],['Soviet Union'],['Russian'],['Q4213581'],['Soyuzmultfilm'],['tt0218931'],['44110'],,['Vasily Livanov'],['grFRFHNu0Yc'],['Boris Kotov'],['Yevgeny Krylatov'],"['https://en.wikipedia.org/wiki/Ded_Moroz_and_Summer', 'https://ru.wikipedia.org/wiki/Дед_Мороз_и_лето']"
"Act, Manya!",Q4156908,1991.0,['film'],,"['Act, Manya!']","['Действуй, Маня!']",['1991 film'],['superhero film'],['Soviet Union'],['Russian'],['Q56061902'],['Lenfilm'],['tt0101722'],['44114'],"['Q2272478', 'Q4086045', 'Q4290663']",,,['Valery Myulgaut'],,"['https://en.wikipedia.org/wiki/Act,_Manya!', 'https://ru.wikipedia.org/wiki/Действуй,_Маня!']"
Do It — One!,Q4157021,1990.0,['film'],85.0,['Do It — One!'],['Делай — раз!'],['1990 film directed by Andrey Igorevitsj Maljukov'],['drama film'],['Soviet Union'],['Russian'],['Q4279646'],['Mosfilm'],['tt0099398'],['44120'],['Q1393540'],['Yevgeny Mesyatsev'],['vOGM8FGEMz8'],,['Mark Minkov'],"['https://en.wikipedia.org/wiki/Do_It_—_One!', 'https://ru.wikipedia.org/wiki/Делай_—_раз!']"
Дачный домик для одной семьи,Q4155464,1978.0,['film'],,,['Дачный домик для одной семьи'],['1978 film by Yuli Gusman'],['drama film'],['Soviet Union'],['Russian'],['Q1965529'],['Azerbaijanfilm'],['tt0212900'],['221356'],['Q540247'],['Rustam Ibrahimbeyov'],,['Valeri Kerimov'],,['https://ru.wikipedia.org/wiki/Дачный_домик_для_одной_семьи']
Двое под одним зонтом,Q4155794,1983.0,['film'],92.0,,['Двое под одним зонтом'],['1983 film by George Jungvald-Khilkevitch'],['melodrama'],['Soviet Union'],['Russian'],['Q4534523'],['Odesa Film Studio'],['tt0085465'],['44365'],"['Q380250', 'Q1994208', 'Q2306866']",,,,['Isaac Schwartz'],['https://ru.wikipedia.org/wiki/Двое_под_одним_зонтом']
Девочка и вещи,Q4156428,1967.0,['film'],,,['Девочка и вещи'],['1967 film by Nikita Mikhalkov'],,['Soviet Union'],['Russian'],['Q55207'],['Gerasimov Institute of Cinematography'],['tt0061566'],['44173'],,['Nikita Mikhalkov'],,['Igor Klebanov'],,['https://ru.wikipedia.org/wiki/Девочка_и_вещи']
Девочка на шаре,Q4156435,1966.0,['film'],64.0,,['Девочка на шаре'],['1966 film directed by Levan Shengeliya and Gleb Komarovsky'],,['Soviet Union'],['Russian'],"['Q4522852', 'Q56219448']",['Mosfilm'],['tt0291130'],['44176'],"['Q784509', 'Q4094765', 'Q4098152', 'Q4135883', 'Q4237360', 'Q4307997']",['Viktor Dragunsky'],['twsdRAcsar8'],,,['https://ru.wikipedia.org/wiki/Девочка_на_шаре_(фильм)']
Штрихи к портрету В. И. Ленина,Q4526979,1967.0,['film'],,,['Штрихи к портрету В. И. Ленина'],['1967 film by Leonid Pchyolkin'],['drama film'],['Soviet Union'],['Russian'],['Q4385073'],['Studio Ekran'],['tt0062264'],['43770'],"['Q376335', 'Q466139', 'Q540247', 'Q633916']",['Mikhail Shatrov'],['6r7cGAas-9g'],,['Nikolai Karetnikov'],['https://ru.wikipedia.org/wiki/Штрихи_к_портрету_В._И._Ленина']
Шутите?,Q4528059,1971.0,['film'],85.0,,['Шутите?'],['1971 film'],['comedy film'],['Soviet Union'],['Russian'],"['Q15061105', 'Q21641814', 'Q56045577']","['Lenfilm', 'Gerasimov Institute of Cinematography']",['tt0329601'],['43778'],,"['Valery Popov', 'Rady Pogodin']",,['Vladimir Vasilyev'],['Nikolay Martynov'],['https://ru.wikipedia.org/wiki/Шутите?']
Air Crew,Q4530224,1979.0,['film'],124.0,['Air Crew'],['Экипаж'],['1979 film by Alexander Mitta'],['disaster film'],['Soviet Union'],['Russian'],['Q1390108'],['Mosfilm'],['tt0134633'],['41982'],"['Q782176', 'Q1509265', 'Q1967995', 'Q4104514', 'Q4535578']","['Alexander Mitta', 'Valeri Frid', 'Yuli Dunsky']",['lgSl7D_vtEE'],['Valeri Shuvalov'],['Alfred Schnittke'],"['https://en.wikipedia.org/wiki/Air_Crew', 'https://ru.wikipedia.org/wiki/Экипаж_(фильм,_1979)']"
