film_id,film_name,actor_id,actor_name
Q4316406,Neylon 100%,Q2272478,Yevgeny Vesnik
Q4273985,Highway,Q4462317,Marina Tregubovich
Q4316283,Unfinished Supper,Q3739185,Uldis Vazdiks
Q4316283,Unfinished Supper,Q4262161,Arnolds Liniņš
Q4316406,Neylon 100%,Q4282079,Rimma Markova
Q4273985,Highway,Q664373,Kirill Lavrov
Q4316360,The Unknown Soldier,Q4339252,Yury Oskin
Q4317335,Непокорённый батальон,Q730275,Mikhail Pugovkin
Q4273985,Highway,Q4244964,Vsevolod Kuznetsov
Q4316283,Unfinished Supper,Q4282631,Mirdza Martinsone
Q4317167,Karik and Valya's Remarkable Adventures,Q4424583,Andrey Jurevitsj Smirnov
Q4317335,Непокорённый батальон,Q4295619,Jeyhun Mirzayev
Q4317656,Нескладуха,Q15088944,Anatoly Rudakov
Q4273985,Highway,Q726105,Vladimir Menshov
Q4316323,Незнайка с нашего двора,Q15071056,Yury Torsuyev
Q4317657,Several Interviews on Personal Matters,Q446914,Sofiko Chiaureli
Q4316283,Unfinished Supper,Q2306866,Ivars Kalniņš
Q4317157,Unusual Exhibition,Q2622599,Dodo Abashidze
Q4317325,The Unamenables,Q4082228,Yuri Belov
Q4317171,An Unusual Concert,Q4406656,Semyon Samodur
Q4317157,Unusual Exhibition,Q4266999,Guram Lortkipanidze
Q4317160,Необыкновенное путешествие Мишки Стрекачёва,Q4093671,Aleksey Borzunov
Q4316365,Incorrigible Liar,Q4380349,Nikolay Prokopovich
Q4273985,Highway,Q68537,Lyudmila Gurchenko
Q4316365,Incorrigible Liar,Q80399,Edita Piekha
Q4316163,Нежданно-негаданно,Q247846,Tatyana Dogileva
Q4316247,Nezabyvaemoe,Q4093198,Yevhen Bondarenko
Q4317171,An Unusual Concert,Q4137162,Zinovy Gerdt
Q4317335,Непокорённый батальон,Q2061288,Vladimir Yemelyanov
Q4317656,Нескладуха,Q4141005,Viktor Gogolev
Q4316224,Nezhnost,Q4442393,Mariya Sternikova
Q4316360,The Unknown Soldier,Q4493465,Vasily Funtikov
Q4275244,Makar-sledopyt,Q4258686,Alexander Lenkov
Q4317325,The Unamenables,Q310873,Yuri Nikulin
Q4463348,Three Men in a Boat,Q469550,Andrei Mironov
Q4463199,Триста лет тому…,Q4163619,Viktor Dobrovolsky
Q4331120,The Lights of Baku,Q4452839,Rza Tahmasib
Q4441189,Старый знакомый,Q2545982,Vladimir Etush
Q4492200,Fotografija ar sievieti un mezakuili,Q449386,Alvis Hermanis
Q4491749,The Fountain,Q64348500,Anatoly Kalmykov
Q4423281,Investigation Held by ZnaToKi. Case #1. Black Brocker,Q1987569,Leonid Kanevsky
