header_id,occures_in
C1_facs_104_tr_1700430018,C2_facs_261_tr_1700921510
C1_facs_109_tr_1700430310,C1_facs_313_tr_1700431948
C1_facs_110_tr_1700429690,C2_facs_188_tr_1700919335
C1_facs_117_tr_1700430217,C2_facs_47_tr_1700920191
C1_facs_120_tr_1701613247,C2_facs_356_tr_1700919356
C1_facs_123_region_1700261678925_1451,C1_facs_255_tr_1700430926
C1_facs_125_region_1700262591140_1592,C1_facs_67_tr_1700384075
C1_facs_125_region_1700262591140_1592,C1_facs_292_tr_1700322689
C1_facs_125_region_1700262591140_1592,C1_facs_464_tr_1700431997
C1_facs_125_region_1700262591140_1592,C1_facs_477_tr_1700432537
C1_facs_125_region_1700262591140_1592,C2_facs_21_tr_1700918679
C1_facs_125_region_1700262591140_1592,C2_facs_29_tr_1700920923
C1_facs_125_region_1700262591140_1592,C2_facs_182_tr_1700919561
C1_facs_125_region_1700262591140_1592,C2_facs_228_tr_1700919070
C1_facs_125_region_1700262591140_1592,C2_facs_268_tr_1700920237
C1_facs_125_region_1700262591140_1592,C2_facs_311_tr_1700920736
C1_facs_125_region_1700262591140_1592,C2_facs_418_tr_1700921257
C1_facs_133_tr_1700322755,C1_facs_13_region_1699103354038_256
C1_facs_133_tr_1700322755,C1_facs_125_region_1700262591140_1592
C1_facs_133_tr_1700322755,C1_facs_274_tr_1700432399
C1_facs_133_tr_1700322755,C1_facs_430_tr_1700432549
C1_facs_133_tr_1700322755,C2_facs_411_tr_1700920277
C1_facs_137_tr_1700429921,C2_facs_367_tr_1700919367
C1_facs_137_tr_1700429921,C2_facs_429_tr_1700920468
C1_facs_140_tr_1700432025,C1_facs_13_region_1699103354038_256
C1_facs_141_tr_1700432367,C1_facs_141_tr_1700432365
C1_facs_141_tr_1700432367,C1_facs_456_tr_1700429865
C1_facs_141_tr_1700432367,C2_facs_25_tr_1700918960
C1_facs_141_tr_1700432365,C1_facs_456_tr_1700429865
C1_facs_141_tr_1700432365,C2_facs_25_tr_1700918960
C1_facs_150_tr_1700429998,C2_facs_168_tr_1700921739
C1_facs_153_tr_1700430810,C1_facs_164_tr_1700429592
C1_facs_153_tr_1700430810,C1_facs_207_tr_1700385666
C1_facs_153_tr_1700430810,C1_facs_371_tr_1700431734
C1_facs_153_tr_1700430810,C2_facs_284_tr_1700919164
C1_facs_155_tr_1700429876,C2_facs_144_tr_1700921058
C1_facs_155_tr_1700429876,C2_facs_423_tr_1700920674
C1_facs_156_tr_1700429416,C1_facs_233_tr_1700429648
C1_facs_156_tr_1700429416,C1_facs_477_tr_1700432539
C1_facs_156_tr_1700429416,C1_facs_513_tr_1700429828
C1_facs_156_tr_1700429416,C1_facs_522_tr_1700431600
C1_facs_157_tr_1700429552,C1_facs_157_tr_1700429555
C1_facs_157_tr_1700429552,C1_facs_158_tr_1700430761
C1_facs_157_tr_1700429552,C1_facs_159_tr_1700430252
C1_facs_160_tr_1700430347,C2_facs_129_tr_1700919780
C1_facs_160_tr_1700430347,C2_facs_299_tr_1700920651
C1_facs_161_tr_1700430990,C1_facs_26_tr_1700316507
C1_facs_161_tr_1700430990,C1_facs_53_tr_1700384031
C1_facs_161_tr_1700430990,C1_facs_161_tr_1700430985
C1_facs_161_tr_1700430990,C1_facs_184_tr_1700429363
C1_facs_161_tr_1700430990,C1_facs_224_tr_1700430557
C1_facs_161_tr_1700430990,C1_facs_421_tr_1700430297
C1_facs_161_tr_1700430990,C2_facs_60_tr_1700918923
C1_facs_161_tr_1700430990,C2_facs_114_tr_1700919869
C1_facs_161_tr_1700430990,C2_facs_180_tr_1700920637
C1_facs_164_tr_1700429592,C1_facs_36_tr_1700316546
C1_facs_164_tr_1700429592,C1_facs_46_tr_1700322553
C1_facs_164_tr_1700429592,C1_facs_109_tr_1700430310
C1_facs_164_tr_1700429592,C2_facs_143_tr_1700920754
C1_facs_164_tr_1700429592,C2_facs_345_tr_1700919441
C1_facs_164_tr_1700429592,C2_facs_389_tr_1700921387
C1_facs_174_tr_1700432446,C1_facs_477_tr_1700432537
C1_facs_174_tr_1700432446,C2_facs_308_tr_1700919651
C1_facs_174_tr_1700432446,C2_facs_325_tr_1700918617
C1_facs_175_tr_1700431032,C1_facs_18_region_1700257587215_795
C1_facs_175_tr_1700431032,C1_facs_268_tr_1700432007
C1_facs_175_tr_1700431032,C1_facs_487_tr_1700431394
C1_facs_178_tr_1700430511,C1_facs_191_tr_1700431335
C1_facs_178_tr_1700430511,C1_facs_317_tr_1700430285
C1_facs_178_tr_1700430511,C1_facs_448_tr_1700429772
C1_facs_178_tr_1700430511,C2_facs_29_tr_1700920923
C1_facs_178_tr_1700430511,C2_facs_110_tr_1700919470
C1_facs_178_tr_1700430511,C2_facs_189_tr_1700921605
C1_facs_178_tr_1700430511,C2_facs_240_tr_1700919029
C1_facs_178_tr_1700430511,C2_facs_316_tr_1700920664
C1_facs_178_tr_1700430511,C2_facs_377_tr_1700918790
C1_facs_178_tr_1700430511,C2_facs_379_tr_1700919756
C1_facs_180_tr_1700430369,C1_facs_207_tr_1700385666
C1_facs_182_tr_1700431041,C1_facs_278_tr_1700430262
C1_facs_188_tr_1700429809,C1_facs_269_tr_1700432204
C1_facs_188_tr_1700429809,C1_facs_384_tr_1700430859
C1_facs_188_tr_1700429809,C1_facs_437_tr_1700430918
C1_facs_188_tr_1700429809,C1_facs_452_tr_1700430362
C1_facs_188_tr_1700429809,C1_facs_511_tr_1700429317
C1_facs_188_tr_1700429809,C1_facs_522_tr_1700431596
C1_facs_188_tr_1700429809,C2_facs_8_tr_1700920084
C1_facs_188_tr_1700429809,C2_facs_143_tr_1700920754
C1_facs_188_tr_1700429809,C2_facs_145_tr_1700921134
C1_facs_188_tr_1700429809,C2_facs_175_tr_1700919508
C1_facs_189_tr_1700429547,C1_facs_153_tr_1700430810
C1_facs_190_tr_1700431426,C2_facs_217_tr_1700918996
C1_facs_190_tr_1700431422,C1_facs_76_tr_1700432421
C1_facs_190_tr_1700431422,C1_facs_319_tr_1701613177
C1_facs_191_tr_1700431335,C1_facs_32_tr_1700316536
C1_facs_191_tr_1700431335,C1_facs_77_tr_1700432291
C1_facs_191_tr_1700431335,C1_facs_94_tr_1700430087
C1_facs_191_tr_1700431335,C1_facs_190_tr_1700431422
C1_facs_191_tr_1700431335,C1_facs_194_tr_1700432489
C1_facs_191_tr_1700431335,C1_facs_265_tr_1700432112
C1_facs_191_tr_1700431335,C1_facs_313_tr_1700431948
C1_facs_191_tr_1700431335,C1_facs_344_tr_1700429457
C1_facs_191_tr_1700431335,C1_facs_346_tr_1700429722
C1_facs_191_tr_1700431335,C1_facs_353_tr_1700429351
C1_facs_191_tr_1700431335,C1_facs_413_tr_1700431099
C1_facs_191_tr_1700431335,C1_facs_413_tr_1700431098
C1_facs_191_tr_1700431335,C1_facs_448_tr_1700429772
C1_facs_191_tr_1700431335,C2_facs_20_tr_1700919295
C1_facs_191_tr_1700431335,C2_facs_59_tr_1700919537
C1_facs_191_tr_1700431335,C2_facs_129_tr_1700919782
C1_facs_191_tr_1700431335,C2_facs_148_tr_1700921004
C1_facs_191_tr_1700431335,C2_facs_211_tr_1700920423
C1_facs_191_tr_1700431335,C2_facs_226_tr_1700921329
C1_facs_191_tr_1700431335,C2_facs_238_tr_1700920106
C1_facs_191_tr_1700431335,C2_facs_254_tr_1700919472
C1_facs_191_tr_1700431335,C2_facs_356_tr_1700919354
C1_facs_191_tr_1700431335,C2_facs_369_tr_1700920088
C1_facs_191_tr_1700431335,C2_facs_371_tr_1700921503
C1_facs_191_tr_1700431335,C2_facs_381_tr_1700920824
C1_facs_191_tr_1700431335,C2_facs_416_tr_1700918925
C1_facs_215_tr_1700430960,C2_facs_65_tr_1700919453
C1_facs_215_tr_1700430960,C2_facs_376_tr_1700919218
C1_facs_215_tr_1700430965,C2_facs_290_tr_1700920098
C1_facs_220_tr_1700429801,C1_facs_317_tr_1700430285
C1_facs_220_tr_1700429802,C1_facs_136_tr_1700322475
C1_facs_220_tr_1700429802,C1_facs_293_tr_1700322596
C1_facs_220_tr_1700429802,C1_facs_488_tr_1700429692
C1_facs_221_tr_1700430639,C1_facs_215_tr_1700430960
C1_facs_229_tr_1700430999,C1_facs_419_tr_1700430044
C1_facs_230_tr_1700431773,C1_facs_17_region_1700257346478_714
C1_facs_230_tr_1700431773,C1_facs_32_tr_1700316536
C1_facs_230_tr_1700431773,C1_facs_39_tr_1700322732
C1_facs_230_tr_1700431773,C1_facs_53_tr_1700384031
C1_facs_230_tr_1700431773,C1_facs_74_tr_1700432242
C1_facs_230_tr_1700431773,C1_facs_92_tr_1700431198
C1_facs_230_tr_1700431773,C1_facs_141_tr_1700432365
C1_facs_230_tr_1700431773,C1_facs_162_tr_1700430739
C1_facs_230_tr_1700431773,C1_facs_211_tr_1700432177
C1_facs_230_tr_1700431773,C1_facs_283_tr_1700430997
C1_facs_230_tr_1700431773,C1_facs_391_tr_1700430335
C1_facs_230_tr_1700431773,C1_facs_464_tr_1700431997
C1_facs_230_tr_1700431773,C2_facs_108_tr_1700920856
C1_facs_230_tr_1700431773,C2_facs_111_tr_1700919964
C1_facs_230_tr_1700431773,C2_facs_135_tr_1700919063
C1_facs_230_tr_1700431773,C2_facs_327_tr_1700919877
C1_facs_230_tr_1700431773,C2_facs_374_tr_1700921583
C1_facs_230_tr_1700431773,C2_facs_420_tr_1700918626
C1_facs_232_tr_1700432227,C2_facs_45_tr_1700921187
C1_facs_232_tr_1700432227,C2_facs_239_tr_1700920426
C1_facs_233_tr_1700429648,C2_facs_405_tr_1700919500
C1_facs_237_tr_1700431500,C1_facs_513_tr_1700429828
C1_facs_237_tr_1700431500,C2_facs_71_tr_1700918647
C1_facs_238_tr_1700430749,C1_facs_355_tr_1700429599
C1_facs_239_tr_1700430983,C1_facs_153_tr_1700430810
C1_facs_239_tr_1700430983,C1_facs_313_tr_1700431946
C1_facs_243_tr_1700430883,C2_facs_308_tr_1700919655
C1_facs_244_tr_1700432520,C2_facs_218_tr_1700920312
C1_facs_244_tr_1700432515,C1_facs_120_tr_1701613244
C1_facs_244_tr_1700432515,C2_facs_75_tr_1700921444
C1_facs_244_tr_1700432515,C2_facs_152_tr_1700919139
C1_facs_245_tr_1701613337,C1_facs_333_tr_1700431827
C1_facs_245_tr_1701613337,C2_facs_316_tr_1700920664
C1_facs_245_tr_1701613344,C1_facs_173_tr_1700430280
C1_facs_245_tr_1701613344,C1_facs_293_tr_1700322596
C1_facs_245_tr_1701613344,C2_facs_88_tr_1700919409
C1_facs_245_tr_1701613344,C2_facs_114_tr_1700919869
C1_facs_245_tr_1701613344,C2_facs_377_tr_1700918789
C1_facs_248_tr_1700430487,C1_facs_104_tr_1700430018
C1_facs_248_tr_1700430487,C1_facs_133_tr_1700322755
C1_facs_248_tr_1700430487,C2_facs_42_tr_1700919554
C1_facs_248_tr_1700430487,C2_facs_212_tr_1700920491
C1_facs_252_tr_1700431371,C1_facs_169_tr_1700432065
C1_facs_252_tr_1700431371,C1_facs_308_tr_1700431066
C1_facs_252_tr_1700431371,C1_facs_343_tr_1700432465
C1_facs_252_tr_1700431371,C2_facs_212_tr_1700920491
C1_facs_265_tr_1700432112,C1_facs_3_region_1699102206352_41
C1_facs_265_tr_1700432112,C1_facs_8_region_1699102952561_113
C1_facs_265_tr_1700432112,C1_facs_17_region_1700257346478_714
C1_facs_265_tr_1700432112,C1_facs_18_region_1700257587215_795
C1_facs_265_tr_1700432112,C1_facs_24_tr_1700431023
C1_facs_265_tr_1700432112,C1_facs_51_tr_1700383900
C1_facs_265_tr_1700432112,C1_facs_70_tr_1700383940
C1_facs_265_tr_1700432112,C1_facs_94_tr_1700430087
C1_facs_265_tr_1700432112,C1_facs_95_tr_1700430659
C1_facs_265_tr_1700432112,C1_facs_108_tr_1700432654
C1_facs_265_tr_1700432112,C1_facs_109_tr_1700430310
C1_facs_265_tr_1700432112,C1_facs_110_tr_1700429690
C1_facs_265_tr_1700432112,C1_facs_113_tr_1700431583
C1_facs_265_tr_1700432112,C1_facs_121_region_1700261005294_1293
C1_facs_265_tr_1700432112,C1_facs_137_tr_1700429924
C1_facs_265_tr_1700432112,C1_facs_153_tr_1700430810
C1_facs_265_tr_1700432112,C1_facs_164_tr_1700429592
C1_facs_265_tr_1700432112,C1_facs_167_tr_1700431806
C1_facs_265_tr_1700432112,C1_facs_168_tr_1700430099
C1_facs_265_tr_1700432112,C1_facs_168_tr_1700430100
C1_facs_265_tr_1700432112,C1_facs_175_tr_1700431032
C1_facs_265_tr_1700432112,C1_facs_191_tr_1700431335
C1_facs_265_tr_1700432112,C1_facs_207_tr_1700385666
C1_facs_265_tr_1700432112,C1_facs_217_tr_1700431366
C1_facs_265_tr_1700432112,C1_facs_234_tr_1700431878
C1_facs_265_tr_1700432112,C1_facs_246_tr_1700430536
C1_facs_265_tr_1700432112,C1_facs_258_tr_1700431219
C1_facs_265_tr_1700432112,C1_facs_259_tr_1700429935
C1_facs_265_tr_1700432112,C1_facs_262_tr_1700429622
C1_facs_265_tr_1700432112,C1_facs_268_tr_1700432007
C1_facs_265_tr_1700432112,C1_facs_285_tr_1700430419
